Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price
Malleshwaram,2706,4,4.0,1.0,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Landscaped Garden, Power Backup",31490000
Koramangala,1815,3,2.0,6.0,,"24/7 Security, Children's Play Area, Clubhouse, Intercom",19540000
Marathahalli,4095,5,5.0,8.0,Semi-Furnished,"Clubhouse, Intercom, Power Backup, Swimming Pool",30070000
Malleshwaram,1722,3,,8.0,Unfurnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden",18580000
Koramangala,2137,4,3.0,3.0,Semi-Furnished,"Children's Play Area, Clubhouse, Power Backup, Swimming Pool, Tennis Court",29590000
HSR Layout,1542,3,3.0,4.0,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Intercom, Landscaped Garden",13730000
Electronic City,800,2,2.0,9.0,,"Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track, Power Backup",4240000
Whitefield,1624,3,3.0,24.0,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool",7990000
Banashankari,2389,4,4.0,2.0,Unfurnished,"Children's Play Area, Covered Parking, High-Speed Elevators",15730000
Thanisandra,2105,3,3.0,2.0,Furnished,"Covered Parking, Gym, Intercom, Power Backup, Tennis Court",13170000
Bellandur,1733,3,3.0,1.0,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Power Backup, Swimming Pool, Tennis Court",16870000
Malleshwaram,1202,2,2.0,5.0,Semi-Furnished,"24/7 Security, Clubhouse, Landscaped Garden, Power Backup, Swimming Pool",11900000
Whitefield,1667,3,3.0,15.0,Semi-Furnished,"Covered Parking, Gym, Jogging Track, Tennis Court",9600000
Whitefield,1470,3,3.0,22.0,Unfurnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Landscaped Garden",6770000
Yelahanka,1949,3,3.0,0.0,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",12890000
Jayanagar,1091,2,2.0,2.0,Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",12970000
HSR Layout,1492,3,2.0,16.0,Unfurnished,"High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",11170000
Koramangala,2085,3,2.0,4.0,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Swimming Pool",28120000
Koramangala,1084,2,2.0,6.0,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden",14330000
Electronic City,1196,2,1.0,,Unfurnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Tennis Court",5480000
Yelahanka,713,1,1.0,6.0,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Tennis Court",4480000
Koramangala,1716,3,3.0,1.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool, Tennis Court",22760000
Electronic City,1169,2,2.0,2.0,Semi-Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool",6190000
Thanisandra,1165,2,1.0,17.0,Semi-Furnished,"Children's Play Area, Swimming Pool",6190000
Malleshwaram,1243,2,2.0,0.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",12340000
Marathahalli,951,2,2.0,6.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Tennis Court",6730000
Malleshwaram,1503,3,2.0,3.0,Furnished,"Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",19040000
Marathahalli,1458,3,2.0,5.0,Unfurnished,"24/7 Security, Children's Play Area, Gym, Swimming Pool, Tennis Court",9200000
Sarjapur Road,1300,3,2.0,5.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden",10020000
Koramangala,1719,3,2.0,0.0,Unfurnished,"24/7 Security, Gym, Intercom, Power Backup",22170000
Jayanagar,1100,2,2.0,,Semi-Furnished,"Intercom, Landscaped Garden, Power Backup, Swimming Pool",11990000
HSR Layout,1261,2,2.0,7.0,Furnished,"Intercom, Jogging Track, Landscaped Garden",11100000
Thanisandra,864,2,2.0,4.0,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Power Backup, Tennis Court",5100000
HSR Layout,966,2,2.0,,Unfurnished,"Gym, Intercom, Power Backup, Swimming Pool",7900000
Malleshwaram,1738,3,3.0,2.0,Furnished,"Children's Play Area, Gym, Intercom, Tennis Court",18930000
Whitefield,1300,3,2.0,1.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track",6910000
Whitefield,484,1,1.0,3.0,Semi-Furnished,"24/7 Security, Gym, Power Backup, Swimming Pool",2430000
Jayanagar,1172,2,2.0,1.0,Unfurnished,"Covered Parking, Gym, Landscaped Garden",12070000
Thanisandra,1609,3,2.0,4.0,Semi-Furnished,"Intercom, Jogging Track, Power Backup",9930000
Electronic City,884,2,2.0,26.0,Unfurnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup",3280000
Thanisandra,2303,4,4.0,2.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden, Tennis Court",14750000
Jayanagar,1615,3,,1.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Intercom",18080000
Jayanagar,1778,3,3.0,2.0,Unfurnished,"24/7 Security, Children's Play Area, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",20870000
Indiranagar,1749,3,2.0,5.0,Furnished,"Intercom, Power Backup",21690000
Thanisandra,1361,3,3.0,13.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",7240000
Yelahanka,1019,2,1.0,0.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track",4830000
Sarjapur Road,1181,2,2.0,12.0,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Swimming Pool",7180000
Sarjapur Road,1546,3,3.0,1.0,Semi-Furnished,"Covered Parking, Intercom, Landscaped Garden, Power Backup, Swimming Pool",10680000
Sarjapur Road,833,2,1.0,2.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track",4630000
Yelahanka,728,1,1.0,12.0,Semi-Furnished,"Covered Parking, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",3590000
Malleshwaram,1754,3,2.0,18.0,Semi-Furnished,"Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool",17130000
Bellandur,595,1,1.0,1.0,Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup",4650000
Marathahalli,1592,3,3.0,3.0,Semi-Furnished,"24/7 Security, Landscaped Garden",9240000
Sarjapur Road,1029,2,1.0,3.0,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",6860000
Whitefield,694,1,1.0,10.0,Unfurnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",2980000
Jayanagar,1016,2,2.0,10.0,Semi-Furnished,"Children's Play Area, Jogging Track, Swimming Pool",10220000
Marathahalli,585,1,1.0,6.0,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",3770000
Electronic City,1140,2,2.0,7.0,Semi-Furnished,"Children's Play Area, Covered Parking, Jogging Track, Power Backup",4240000
Sarjapur Road,1151,2,2.0,1.0,Furnished,"Children's Play Area, Covered Parking, Power Backup",9060000
Indiranagar,746,1,1.0,4.0,Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Tennis Court",9560000
Rajajinagar,902,2,1.0,0.0,Semi-Furnished,"24/7 Security, Intercom, Landscaped Garden, Swimming Pool",10050000
Bellandur,1368,2,2.0,10.0,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Swimming Pool",10610000
Indiranagar,517,1,1.0,14.0,Furnished,"High-Speed Elevators, Jogging Track, Tennis Court",5160000
Malleshwaram,1689,3,3.0,1.0,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",21690000
Marathahalli,991,2,2.0,6.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",5870000
Marathahalli,1579,3,3.0,1.0,Semi-Furnished,"Children's Play Area, Gym, Jogging Track, Power Backup",10420000
Sarjapur Road,1164,2,2.0,1.0,Furnished,"24/7 Security, Covered Parking, Gym, Power Backup, Swimming Pool",9680000
HSR Layout,1764,3,3.0,1.0,Furnished,"Clubhouse, High-Speed Elevators, Intercom, Jogging Track",16360000
HSR Layout,1711,3,2.0,6.0,Unfurnished,"24/7 Security, Children's Play Area, Landscaped Garden",13490000
Marathahalli,1102,2,2.0,6.0,Unfurnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",6870000
Rajajinagar,588,1,1.0,7.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Jogging Track, Power Backup, Swimming Pool",5480000
HSR Layout,1641,3,3.0,3.0,Semi-Furnished,"24/7 Security, Intercom, Swimming Pool, Tennis Court",15740000
Indiranagar,1312,2,2.0,5.0,Semi-Furnished,"Clubhouse, Covered Parking, Gym, Landscaped Garden, Power Backup",17610000
Whitefield,4824,5,5.0,7.0,Semi-Furnished,"Covered Parking, High-Speed Elevators, Intercom, Tennis Court",28790000
Bellandur,1749,3,2.0,7.0,Semi-Furnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",13110000
Electronic City,643,1,1.0,3.0,Furnished,"Children's Play Area, Intercom, Jogging Track",3120000
Whitefield,1107,2,2.0,3.0,Unfurnished,"Covered Parking, Gym, Tennis Court",5960000
Yelahanka,1035,2,2.0,4.0,Semi-Furnished,"Intercom, Jogging Track, Swimming Pool",5590000
Koramangala,2055,3,2.0,10.0,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",24490000
Koramangala,1060,2,2.0,22.0,Semi-Furnished,"Power Backup, Swimming Pool",9540000
Rajajinagar,1106,2,2.0,4.0,Furnished,"Children's Play Area, Clubhouse, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",11960000
Koramangala,2519,4,4.0,6.0,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool",35700000
Rajajinagar,1075,2,1.0,5.0,Furnished,"24/7 Security, Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",11360000
Whitefield,1062,2,2.0,2.0,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool, Tennis Court",6000000
Banashankari,1805,3,,6.0,Semi-Furnished,"Children's Play Area, Gym, Swimming Pool",14260000
Whitefield,2059,3,3.0,7.0,Unfurnished,"Gym, Power Backup, Tennis Court",12870000
HSR Layout,2714,4,4.0,4.0,Semi-Furnished,"Clubhouse, High-Speed Elevators, Swimming Pool",21780000
Yelahanka,1022,2,2.0,4.0,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, Intercom, Jogging Track, Tennis Court",6140000
Jayanagar,1731,3,3.0,10.0,Furnished,"24/7 Security, Clubhouse, Gym, Intercom, Power Backup",21630000
Koramangala,2335,4,3.0,2.0,Unfurnished,"Intercom, Landscaped Garden",26210000
Koramangala,1589,3,3.0,15.0,Furnished,"Children's Play Area, Intercom, Swimming Pool",19650000
Indiranagar,1106,2,2.0,4.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Tennis Court",14040000
Electronic City,2267,4,3.0,2.0,Unfurnished,"Clubhouse, Covered Parking, Gym, Tennis Court",10700000
HSR Layout,2517,4,4.0,9.0,Unfurnished,"24/7 Security, Covered Parking, Landscaped Garden, Power Backup",24380000
Marathahalli,2361,4,4.0,2.0,Unfurnished,"Covered Parking, Intercom, Jogging Track, Swimming Pool",16260000
Whitefield,701,1,1.0,5.0,Semi-Furnished,"Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup",3820000
HSR Layout,852,2,1.0,6.0,Semi-Furnished,"Clubhouse, Gym, Jogging Track, Swimming Pool, Tennis Court",7250000
Indiranagar,3807,5,4.0,2.0,Semi-Furnished,"Gym, Intercom, Landscaped Garden, Swimming Pool",55960000
Yelahanka,1373,3,2.0,0.0,Unfurnished,"24/7 Security, Intercom",7390000
Marathahalli,1027,2,1.0,4.0,Furnished,"Clubhouse, Covered Parking, Tennis Court",6220000
Whitefield,1908,3,3.0,15.0,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool",10580000
Thanisandra,3241,4,4.0,3.0,Semi-Furnished,"24/7 Security, Gym, Swimming Pool",20690000
Koramangala,1389,2,2.0,8.0,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Jogging Track, Power Backup, Swimming Pool",16090000
Sarjapur Road,2729,4,3.0,0.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",23700000
Whitefield,1459,3,2.0,9.0,Unfurnished,"24/7 Security, Gym, High-Speed Elevators, Swimming Pool",7160000
Jayanagar,1092,2,2.0,0.0,Unfurnished,"24/7 Security, Children's Play Area, Swimming Pool",13230000
Whitefield,1810,3,3.0,14.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool",9140000
HSR Layout,675,1,1.0,0.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Tennis Court",5940000
Rajajinagar,1213,2,2.0,0.0,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Landscaped Garden",12680000
Whitefield,1918,3,3.0,15.0,Unfurnished,"Intercom, Jogging Track, Landscaped Garden, Swimming Pool",10480000
Jayanagar,1147,2,2.0,27.0,Unfurnished,"Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",10000000
Electronic City,1302,2,2.0,4.0,Unfurnished,"Covered Parking, High-Speed Elevators, Jogging Track, Power Backup, Tennis Court",6630000
Indiranagar,1075,2,2.0,0.0,Semi-Furnished,"Clubhouse, Intercom",13160000
Whitefield,1307,2,2.0,7.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Landscaped Garden",6860000
Bellandur,1300,3,2.0,2.0,Furnished,"Covered Parking, Swimming Pool",10380000
Electronic City,2050,3,3.0,1.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Power Backup, Swimming Pool",10150000
Whitefield,1718,3,2.0,8.0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking",9750000
Bellandur,1672,3,2.0,7.0,Semi-Furnished,"Clubhouse, Power Backup",11770000
Electronic City,1348,2,2.0,14.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Jogging Track, Landscaped Garden, Power Backup",5600000
Yelahanka,1230,2,2.0,3.0,Semi-Furnished,"Intercom, Jogging Track, Power Backup, Swimming Pool",7910000
Sarjapur Road,881,2,2.0,3.0,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Swimming Pool, Tennis Court",5440000
Indiranagar,3718,5,5.0,5.0,Semi-Furnished,"Clubhouse, Gym, Landscaped Garden, Swimming Pool",51400000
Whitefield,450,1,1.0,0.0,Semi-Furnished,"Clubhouse, Covered Parking",2620000
Whitefield,1470,3,3.0,22.0,Unfurnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Landscaped Garden",6770000
Hebbal,1341,2,2.0,0.0,Furnished,"Clubhouse, Covered Parking, Gym, Intercom",13030000
Marathahalli,1083,2,2.0,0.0,Unfurnished,"24/7 Security, Intercom, Jogging Track, Power Backup",7710000
Electronic City,1288,2,1.0,1.0,Furnished,"Clubhouse, Intercom, Jogging Track, Swimming Pool",6790000
HSR Layout,886,2,1.0,8.0,Unfurnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",6940000
Indiranagar,1554,3,3.0,15.0,Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",20210000
Bellandur,1095,2,2.0,0.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, Intercom, Jogging Track, Swimming Pool",10200000
Thanisandra,961,2,1.0,3.0,Semi-Furnished,"24/7 Security, Children's Play Area, Jogging Track",5000000
Hebbal,977,2,2.0,2.0,,"24/7 Security, Landscaped Garden, Tennis Court",7730000
Yelahanka,905,2,2.0,0.0,Semi-Furnished,"Clubhouse, Covered Parking, Landscaped Garden, Swimming Pool, Tennis Court",5690000
Bellandur,1220,2,2.0,3.0,Unfurnished,"Children's Play Area, Gym, Landscaped Garden, Swimming Pool, Tennis Court",9200000
Electronic City,2031,3,2.0,0.0,Furnished,"Landscaped Garden, Power Backup, Swimming Pool",10840000
Sarjapur Road,1668,3,3.0,2.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Swimming Pool",11390000
Koramangala,1128,2,2.0,11.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",13360000
Bellandur,2461,4,3.0,3.0,,"Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track, Tennis Court",24900000
Electronic City,851,2,1.0,18.0,Unfurnished,"Clubhouse, Intercom",3550000
Whitefield,1047,2,2.0,4.0,Unfurnished,"Clubhouse, Jogging Track, Swimming Pool",5930000
Whitefield,1289,2,2.0,5.0,Furnished,"Clubhouse, Gym, Jogging Track, Landscaped Garden, Tennis Court",7170000
Whitefield,2313,3,2.0,0.0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool",15550000
Yelahanka,2337,4,3.0,4.0,Unfurnished,"Clubhouse, Covered Parking, Swimming Pool",12870000
Jayanagar,999,2,2.0,5.0,Furnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators, Power Backup, Swimming Pool, Tennis Court",11180000
Jayanagar,1583,3,2.0,0.0,Unfurnished,"Gym, High-Speed Elevators, Landscaped Garden, Tennis Court",22810000
Rajajinagar,1554,3,,7.0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Power Backup, Swimming Pool",14730000
Thanisandra,3867,5,5.0,4.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Tennis Court",26270000
Whitefield,1872,3,3.0,12.0,Furnished,"Intercom, Power Backup",11220000
Thanisandra,1526,3,2.0,3.0,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Tennis Court",10040000
Sarjapur Road,1218,2,2.0,13.0,Furnished,"Clubhouse, Covered Parking, Swimming Pool, Tennis Court",7240000
Sarjapur Road,1438,3,2.0,3.0,Semi-Furnished,"24/7 Security, High-Speed Elevators, Jogging Track",10600000
Sarjapur Road,1201,2,1.0,17.0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Swimming Pool, Tennis Court",7130000
Bellandur,1105,2,2.0,13.0,,"24/7 Security, High-Speed Elevators, Intercom, Tennis Court",8830000
Bellandur,1200,2,2.0,13.0,Semi-Furnished,"Children's Play Area, Covered Parking, High-Speed Elevators, Intercom, Power Backup, Tennis Court",8040000
Whitefield,694,1,1.0,10.0,Unfurnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",2980000
Sarjapur Road,558,1,1.0,6.0,Semi-Furnished,"Covered Parking, Intercom, Swimming Pool",3420000
Indiranagar,1670,3,2.0,13.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Landscaped Garden",19880000
Jayanagar,815,2,2.0,0.0,Semi-Furnished,"24/7 Security, Gym, Jogging Track",9150000
Bellandur,1443,3,3.0,1.0,Furnished,"24/7 Security, Power Backup, Tennis Court",11690000
Thanisandra,1306,3,2.0,0.0,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",9450000
Hebbal,1101,2,2.0,0.0,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Jogging Track, Swimming Pool",9510000
Sarjapur Road,1273,2,2.0,15.0,Furnished,"Children's Play Area, Covered Parking, Jogging Track",8470000
Hebbal,3901,5,4.0,15.0,Unfurnished,"Children's Play Area, Gym, Intercom, Tennis Court",34580000
Sarjapur Road,2025,3,2.0,8.0,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",14390000
Marathahalli,1300,3,2.0,0.0,Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",7280000
Bellandur,1101,2,2.0,1.0,Semi-Furnished,"24/7 Security, Covered Parking, Tennis Court",9240000
Hebbal,2100,4,3.0,11.0,Semi-Furnished,"24/7 Security, Intercom, Jogging Track, Tennis Court",16970000
Rajajinagar,1581,3,2.0,0.0,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",18840000
Marathahalli,1026,2,2.0,13.0,Furnished,"Children's Play Area, Jogging Track",5750000
HSR Layout,2143,4,3.0,23.0,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Landscaped Garden, Power Backup, Tennis Court",21190000
Rajajinagar,3966,5,5.0,2.0,Semi-Furnished,"High-Speed Elevators, Landscaped Garden",45890000
Malleshwaram,1194,2,2.0,2.0,Semi-Furnished,"Clubhouse, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",12320000
HSR Layout,648,1,1.0,6.0,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Jogging Track, Power Backup, Tennis Court",6190000
Hebbal,935,2,2.0,2.0,Unfurnished,"Covered Parking, High-Speed Elevators, Intercom, Jogging Track",7330000
Thanisandra,2499,4,4.0,5.0,Semi-Furnished,"Children's Play Area, Intercom, Tennis Court",15670000
Koramangala,1475,3,2.0,17.0,Furnished,"Covered Parking, Gym, Intercom, Landscaped Garden",16600000
Malleshwaram,942,2,2.0,5.0,Semi-Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",10550000
Koramangala,1943,3,3.0,9.0,Unfurnished,"24/7 Security, Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",22870000
HSR Layout,1453,3,3.0,25.0,Semi-Furnished,"24/7 Security, Jogging Track, Landscaped Garden, Tennis Court",12730000
Bellandur,1674,3,2.0,1.0,Semi-Furnished,"Clubhouse, High-Speed Elevators, Jogging Track, Swimming Pool",13390000
Rajajinagar,1210,2,2.0,7.0,Semi-Furnished,"Clubhouse, Jogging Track, Swimming Pool",11430000
Malleshwaram,572,1,1.0,13.0,Semi-Furnished,"24/7 Security, Clubhouse, Landscaped Garden, Swimming Pool",4700000
Malleshwaram,1736,3,3.0,1.0,,"Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",19510000
Koramangala,1448,3,2.0,18.0,Unfurnished,"Children's Play Area, Gym, Jogging Track, Landscaped Garden, Tennis Court",12650000
Hebbal,2347,4,3.0,19.0,Semi-Furnished,"Jogging Track, Swimming Pool",19310000
Yelahanka,544,1,1.0,0.0,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",3010000
Bellandur,621,1,1.0,4.0,Furnished,"24/7 Security, Gym, Landscaped Garden, Power Backup, Tennis Court",4940000
Koramangala,983,2,1.0,3.0,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Swimming Pool",11080000
Banashankari,1089,2,1.0,15.0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom",6580000
HSR Layout,1759,3,3.0,11.0,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Landscaped Garden, Tennis Court",13980000
Thanisandra,1170,2,2.0,8.0,Unfurnished,"Power Backup, Swimming Pool",6410000
Marathahalli,4471,5,4.0,9.0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",30460000
