Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
Thanisandra,864,2,2,4,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Power Backup, Tennis Court",5100000.0,5902.78,Modern (4-10 yrs),4.02
HSR Layout,966,2,2,4,Unfurnished,"Gym, Intercom, Power Backup, Swimming Pool",7900000.0,8178.05,Modern (4-10 yrs),3.39
Malleshwaram,1738,3,3,2,Furnished,"Children's Play Area, Gym, Intercom, Tennis Court",18930000.0,10891.83,New (0-3 yrs),3.21
Whitefield,1300,3,2,1,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track",6910000.0,5315.38,New (0-3 yrs),2.05
Whitefield,484,1,1,3,Semi-Furnished,"24/7 Security, Gym, Power Backup, Swimming Pool",2430000.0,5020.66,New (0-3 yrs),3.66
Jayanagar,1172,2,2,1,Unfurnished,"Covered Parking, Gym, Landscaped Garden",12070000.0,10298.63,New (0-3 yrs),2.41
Thanisandra,1609,3,2,4,Semi-Furnished,"Intercom, Jogging Track, Power Backup",9930000.0,6171.54,Modern (4-10 yrs),1.7
Electronic City,884,2,2,26,Unfurnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup",3280000.0,3710.41,Old (20+ yrs),4.82
Thanisandra,2303,4,4,2,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden, Tennis Court",14750000.0,6404.69,New (0-3 yrs),4.46
Jayanagar,1615,3,3,1,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Intercom",18080000.0,11195.05,New (0-3 yrs),2.95
Jayanagar,1778,3,3,2,Unfurnished,"24/7 Security, Children's Play Area, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",20870000.0,11737.91,New (0-3 yrs),5.45
Indiranagar,1749,3,2,5,Furnished,"Intercom, Power Backup",21690000.0,12401.37,Modern (4-10 yrs),1.16
Thanisandra,1361,3,3,13,Semi-Furnished,"24/7 Security, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",7240000.0,5319.62,Established (11-20 yrs),4.2
Yelahanka,1019,2,1,0,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track",4830000.0,4739.94,New (0-3 yrs),4.38
Sarjapur Road,1181,2,2,12,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Swimming Pool",7180000.0,6079.59,Established (11-20 yrs),3.21
Sarjapur Road,1546,3,3,1,Semi-Furnished,"Covered Parking, Intercom, Landscaped Garden, Power Backup, Swimming Pool",10680000.0,6908.15,New (0-3 yrs),4.02
Sarjapur Road,833,2,1,2,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Jogging Track",4630000.0,5558.22,New (0-3 yrs),2.05
Yelahanka,728,1,1,12,Semi-Furnished,"Covered Parking, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",3590000.0,4931.32,Established (11-20 yrs),4.64
Malleshwaram,1754,3,2,18,Semi-Furnished,"Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool",17130000.0,9766.25,Established (11-20 yrs),3.84
Bellandur,595,1,1,1,Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup",4650000.0,7815.13,New (0-3 yrs),5.18
Marathahalli,1592,3,3,3,Semi-Furnished,"24/7 Security, Landscaped Garden",9240000.0,5804.02,New (0-3 yrs),1.52
Sarjapur Road,1029,2,1,3,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",6860000.0,6666.67,New (0-3 yrs),5.36
Whitefield,694,1,1,10,Unfurnished,"Children's Play Area, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup",2980000.0,4293.95,Modern (4-10 yrs),3.57
Jayanagar,1016,2,2,10,Semi-Furnished,"Children's Play Area, Jogging Track, Swimming Pool",10220000.0,10059.06,Modern (4-10 yrs),2.5
Marathahalli,585,1,1,6,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",3770000.0,6444.44,Modern (4-10 yrs),4.46
Electronic City,1140,2,2,7,Semi-Furnished,"Children's Play Area, Covered Parking, Jogging Track, Power Backup",4240000.0,3719.3,Modern (4-10 yrs),2.59
Sarjapur Road,1151,2,2,1,Furnished,"Children's Play Area, Covered Parking, Power Backup",9060000.0,7871.42,New (0-3 yrs),2.05
Indiranagar,746,1,1,4,Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Tennis Court",9560000.0,12815.01,Modern (4-10 yrs),4.73
Rajajinagar,902,2,1,0,Semi-Furnished,"24/7 Security, Intercom, Landscaped Garden, Swimming Pool",10050000.0,11141.91,New (0-3 yrs),3.3
Bellandur,1368,2,2,10,Semi-Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Swimming Pool",10610000.0,7755.85,Modern (4-10 yrs),3.93
Indiranagar,517,1,1,14,Furnished,"High-Speed Elevators, Jogging Track, Tennis Court",5160000.0,9980.66,Established (11-20 yrs),2.68
Malleshwaram,1689,3,3,1,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",21690000.0,12841.92,New (0-3 yrs),7.59
Marathahalli,991,2,2,6,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",5870000.0,5923.31,Modern (4-10 yrs),5.45
Marathahalli,1579,3,3,1,Semi-Furnished,"Children's Play Area, Gym, Jogging Track, Power Backup",10420000.0,6599.11,New (0-3 yrs),2.77
Sarjapur Road,1164,2,2,1,Furnished,"24/7 Security, Covered Parking, Gym, Power Backup, Swimming Pool",9680000.0,8316.15,New (0-3 yrs),4.38
HSR Layout,1764,3,3,1,Furnished,"Clubhouse, High-Speed Elevators, Intercom, Jogging Track",16360000.0,9274.38,New (0-3 yrs),2.95
HSR Layout,1711,3,2,6,Unfurnished,"24/7 Security, Children's Play Area, Landscaped Garden",13490000.0,7884.28,Modern (4-10 yrs),2.14
Marathahalli,1102,2,2,6,Unfurnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Landscaped Garden, Power Backup",6870000.0,6234.12,Modern (4-10 yrs),4.55
Rajajinagar,588,1,1,7,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Jogging Track, Power Backup, Swimming Pool",5480000.0,9319.73,Modern (4-10 yrs),5.36
HSR Layout,1641,3,3,3,Semi-Furnished,"24/7 Security, Intercom, Swimming Pool, Tennis Court",15740000.0,9591.71,New (0-3 yrs),3.75
Indiranagar,1312,2,2,5,Semi-Furnished,"Clubhouse, Covered Parking, Gym, Landscaped Garden, Power Backup",17610000.0,13422.26,Modern (4-10 yrs),4.2
Whitefield,4824,5,5,7,Semi-Furnished,"Covered Parking, High-Speed Elevators, Intercom, Tennis Court",28790000.0,5968.08,Modern (4-10 yrs),3.3
Bellandur,1749,3,2,7,Semi-Furnished,"Clubhouse, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",13110000.0,7495.71,Modern (4-10 yrs),4.82
Electronic City,643,1,1,3,Furnished,"Children's Play Area, Intercom, Jogging Track",3120000.0,4852.26,New (0-3 yrs),1.61
Whitefield,1107,2,2,3,Unfurnished,"Covered Parking, Gym, Tennis Court",5960000.0,5383.92,New (0-3 yrs),2.86
Yelahanka,1035,2,2,4,Semi-Furnished,"Intercom, Jogging Track, Swimming Pool",5590000.0,5400.97,Modern (4-10 yrs),2.32
Koramangala,2055,3,2,10,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",24490000.0,11917.27,Modern (4-10 yrs),4.64
Koramangala,1060,2,2,22,Semi-Furnished,"Power Backup, Swimming Pool",9540000.0,9000.0,Old (20+ yrs),2.05
Rajajinagar,1106,2,2,4,Furnished,"Children's Play Area, Clubhouse, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",11960000.0,10813.74,Modern (4-10 yrs),7.14
Koramangala,2519,4,4,6,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool",35700000.0,14172.29,Modern (4-10 yrs),4.82
Rajajinagar,1075,2,1,5,Furnished,"24/7 Security, Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",11360000.0,10567.44,Modern (4-10 yrs),5.36
Whitefield,1062,2,2,2,Semi-Furnished,"24/7 Security, Clubhouse, Swimming Pool, Tennis Court",6000000.0,5649.72,New (0-3 yrs),4.38
Banashankari,1805,3,3,6,Semi-Furnished,"Children's Play Area, Gym, Swimming Pool",14260000.0,7900.28,Modern (4-10 yrs),2.86
Whitefield,2059,3,3,7,Unfurnished,"Gym, Power Backup, Tennis Court",12870000.0,6250.61,Modern (4-10 yrs),2.86
HSR Layout,2714,4,4,4,Semi-Furnished,"Clubhouse, High-Speed Elevators, Swimming Pool",21780000.0,8025.06,Modern (4-10 yrs),3.3
Yelahanka,1022,2,2,4,Unfurnished,"24/7 Security, Clubhouse, Covered Parking, Intercom, Jogging Track, Tennis Court",6140000.0,6007.83,Modern (4-10 yrs),4.73
Jayanagar,1731,3,3,10,Furnished,"24/7 Security, Clubhouse, Gym, Intercom, Power Backup",21630000.0,12495.67,Modern (4-10 yrs),3.84
Koramangala,2335,4,3,2,Unfurnished,"Intercom, Landscaped Garden",26210000.0,11224.84,New (0-3 yrs),1.25
Koramangala,1589,3,3,15,Furnished,"Children's Play Area, Intercom, Swimming Pool",19650000.0,12366.27,Established (11-20 yrs),2.41
Indiranagar,1106,2,2,4,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Tennis Court",14040000.0,12694.39,Modern (4-10 yrs),5.8
Electronic City,2267,4,3,2,Unfurnished,"Clubhouse, Covered Parking, Gym, Tennis Court",10700000.0,4719.89,New (0-3 yrs),3.93
HSR Layout,2517,4,4,9,Unfurnished,"24/7 Security, Covered Parking, Landscaped Garden, Power Backup",24380000.0,9686.13,Modern (4-10 yrs),2.95
Marathahalli,2361,4,4,2,Unfurnished,"Covered Parking, Intercom, Jogging Track, Swimming Pool",16260000.0,6886.91,New (0-3 yrs),3.04
Whitefield,701,1,1,5,Semi-Furnished,"Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup",3820000.0,5449.36,Modern (4-10 yrs),3.48
HSR Layout,852,2,1,6,Semi-Furnished,"Clubhouse, Gym, Jogging Track, Swimming Pool, Tennis Court",7250000.0,8509.39,Modern (4-10 yrs),5.09
Indiranagar,3807,5,4,2,Semi-Furnished,"Gym, Intercom, Landscaped Garden, Swimming Pool",55960000.0,14699.24,New (0-3 yrs),3.48
Yelahanka,1373,3,2,0,Unfurnished,"24/7 Security, Intercom",7390000.0,5382.37,New (0-3 yrs),1.16
Marathahalli,1027,2,1,4,Furnished,"Clubhouse, Covered Parking, Tennis Court",6220000.0,6056.48,Modern (4-10 yrs),3.04
Whitefield,1908,3,3,15,Furnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool",10580000.0,5545.07,Established (11-20 yrs),4.64
Thanisandra,3241,4,4,3,Semi-Furnished,"24/7 Security, Gym, Swimming Pool",20690000.0,6383.83,New (0-3 yrs),2.95
Koramangala,1389,2,2,8,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, Jogging Track, Power Backup, Swimming Pool",16090000.0,11583.87,Modern (4-10 yrs),5.54
Sarjapur Road,2729,4,3,0,Semi-Furnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Tennis Court",23700000.0,8684.5,New (0-3 yrs),5.71
Whitefield,1459,3,2,9,Unfurnished,"24/7 Security, Gym, High-Speed Elevators, Swimming Pool",7160000.0,4907.47,Modern (4-10 yrs),3.84
Jayanagar,1092,2,2,0,Unfurnished,"24/7 Security, Children's Play Area, Swimming Pool",13230000.0,12115.38,New (0-3 yrs),2.68
Whitefield,1810,3,3,14,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool",9140000.0,5049.72,Established (11-20 yrs),3.84
HSR Layout,675,1,1,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Tennis Court",5940000.0,8800.0,New (0-3 yrs),6.34
Rajajinagar,1213,2,2,0,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Landscaped Garden",12680000.0,10453.42,New (0-3 yrs),4.11
Whitefield,1918,3,3,15,Unfurnished,"Intercom, Jogging Track, Landscaped Garden, Swimming Pool",10480000.0,5464.03,Established (11-20 yrs),3.12
Jayanagar,1147,2,2,27,Unfurnished,"Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",10000000.0,8718.4,Old (20+ yrs),4.38
Electronic City,1302,2,2,4,Unfurnished,"Covered Parking, High-Speed Elevators, Jogging Track, Power Backup, Tennis Court",6630000.0,5092.17,Modern (4-10 yrs),4.11
Indiranagar,1075,2,2,0,Semi-Furnished,"Clubhouse, Intercom",13160000.0,12241.86,New (0-3 yrs),1.52
Whitefield,1307,2,2,7,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Intercom, Landscaped Garden",6860000.0,5248.66,Modern (4-10 yrs),3.57
Bellandur,1300,3,2,2,Furnished,"Covered Parking, Swimming Pool",10380000.0,7984.62,New (0-3 yrs),2.05
Electronic City,2050,3,3,1,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Power Backup, Swimming Pool",10150000.0,4951.22,New (0-3 yrs),4.91
Whitefield,1718,3,2,8,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking",9750000.0,5675.2,Modern (4-10 yrs),2.41
Bellandur,1672,3,2,7,Semi-Furnished,"Clubhouse, Power Backup",11770000.0,7039.47,Modern (4-10 yrs),1.79
Electronic City,1348,2,2,14,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Jogging Track, Landscaped Garden, Power Backup",5600000.0,4154.3,Established (11-20 yrs),4.38
Yelahanka,1230,2,2,3,Semi-Furnished,"Intercom, Jogging Track, Power Backup, Swimming Pool",7910000.0,6430.89,New (0-3 yrs),3.04
Sarjapur Road,881,2,2,3,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, High-Speed Elevators, Swimming Pool, Tennis Court",5440000.0,6174.8,New (0-3 yrs),5.54
Indiranagar,3718,5,5,5,Semi-Furnished,"Clubhouse, Gym, Landscaped Garden, Swimming Pool",51400000.0,13824.64,Modern (4-10 yrs),4.11
Whitefield,450,1,1,0,Semi-Furnished,"Clubhouse, Covered Parking",2620000.0,5822.22,New (0-3 yrs),1.79
Hebbal,1341,2,2,0,Furnished,"Clubhouse, Covered Parking, Gym, Intercom",13030000.0,9716.63,New (0-3 yrs),3.12
Marathahalli,1083,2,2,0,Unfurnished,"24/7 Security, Intercom, Jogging Track, Power Backup",7710000.0,7119.11,New (0-3 yrs),2.41
Electronic City,1288,2,1,1,Furnished,"Clubhouse, Intercom, Jogging Track, Swimming Pool",6790000.0,5271.74,New (0-3 yrs),3.39
HSR Layout,886,2,1,8,Unfurnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Tennis Court",6940000.0,7832.96,Modern (4-10 yrs),5.71
Indiranagar,1554,3,3,15,Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",20210000.0,13005.15,Established (11-20 yrs),4.82
Bellandur,1095,2,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Gym, Intercom, Jogging Track, Swimming Pool",10200000.0,9315.07,New (0-3 yrs),5.62
Thanisandra,961,2,1,3,Semi-Furnished,"24/7 Security, Children's Play Area, Jogging Track",5000000.0,5202.91,New (0-3 yrs),1.88
Hebbal,977,2,2,2,Semi-Furnished,"24/7 Security, Landscaped Garden, Tennis Court",7730000.0,7911.98,New (0-3 yrs),2.77
Yelahanka,905,2,2,0,Semi-Furnished,"Clubhouse, Covered Parking, Landscaped Garden, Swimming Pool, Tennis Court",5690000.0,6287.29,New (0-3 yrs),5.18
Bellandur,1220,2,2,3,Unfurnished,"Children's Play Area, Gym, Landscaped Garden, Swimming Pool, Tennis Court",9200000.0,7540.98,New (0-3 yrs),4.91
Electronic City,2031,3,2,0,Furnished,"Landscaped Garden, Power Backup, Swimming Pool",10840000.0,5337.27,New (0-3 yrs),2.86
Sarjapur Road,1668,3,3,2,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Swimming Pool",11390000.0,6828.54,New (0-3 yrs),5.18
Koramangala,1128,2,2,11,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",13360000.0,11843.97,Established (11-20 yrs),5.54
Bellandur,2461,4,3,3,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Jogging Track, Tennis Court",24900000.0,10117.84,New (0-3 yrs),5.09
Electronic City,851,2,1,18,Unfurnished,"Clubhouse, Intercom",3550000.0,4171.56,Established (11-20 yrs),1.52
Whitefield,1047,2,2,4,Unfurnished,"Clubhouse, Jogging Track, Swimming Pool",5930000.0,5663.8,Modern (4-10 yrs),2.95
Whitefield,1289,2,2,5,Furnished,"Clubhouse, Gym, Jogging Track, Landscaped Garden, Tennis Court",7170000.0,5562.45,Modern (4-10 yrs),4.55
Whitefield,2313,3,2,0,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool",15550000.0,6722.87,New (0-3 yrs),6.61
Yelahanka,2337,4,3,4,Unfurnished,"Clubhouse, Covered Parking, Swimming Pool",12870000.0,5507.06,Modern (4-10 yrs),3.12
Jayanagar,999,2,2,5,Furnished,"24/7 Security, Children's Play Area, Gym, High-Speed Elevators, Power Backup, Swimming Pool, Tennis Court",11180000.0,11191.19,Modern (4-10 yrs),6.43
Jayanagar,1583,3,2,0,Unfurnished,"Gym, High-Speed Elevators, Landscaped Garden, Tennis Court",22810000.0,14409.35,New (0-3 yrs),3.84
